iter	Logloss
0	0.6869416163
1	0.6765658571
2	0.6669851622
3	0.6556610404
4	0.6517138444
5	0.6488759813
6	0.6439642879
7	0.6392771921
8	0.632906867
9	0.6282757939
10	0.6242382175
11	0.6220243864
12	0.6196881526
13	0.6137052556
14	0.6063764834
15	0.6042914938
16	0.6015170464
17	0.5995476684
18	0.5977401272
19	0.5922788506
20	0.5867680538
21	0.5850912607
22	0.5782338084
23	0.5759252802
24	0.5702273181
25	0.5687046747
26	0.5637025228
27	0.5622443293
28	0.5607288241
29	0.5592598926
30	0.5558683813
31	0.5517379245
32	0.5503882966
33	0.544736853
34	0.5405822986
35	0.5393033522
36	0.5352388017
37	0.5324835834
38	0.5287883031
39	0.5277735736
40	0.5241533508
41	0.5190978548
42	0.5181900711
43	0.51659305
44	0.5133764371
45	0.511361417
46	0.5103902028
47	0.5082146855
48	0.5057817175
49	0.5048587927
50	0.4985176428
51	0.4952794001
52	0.4931351095
53	0.4913449839
54	0.4894051998
55	0.4866619212
56	0.4835502815
57	0.4793457893
58	0.4742511394
59	0.4723691282
60	0.4698514896
61	0.4691515208
62	0.4666815716
63	0.4619850634
64	0.4591448367
65	0.4543079732
66	0.4517652831
67	0.4489170387
68	0.4466686679
69	0.4451808313
70	0.4428203935
71	0.4396706367
72	0.435537358
73	0.4329612739
74	0.4324524074
