iter	Passed	Remaining
0	19	1454
1	39	1428
2	58	1394
3	78	1385
4	96	1353
5	116	1334
6	134	1311
7	153	1284
8	172	1266
9	191	1242
10	210	1222
11	229	1206
12	248	1186
13	267	1167
14	286	1146
15	305	1126
16	324	1108
17	343	1087
18	361	1065
19	380	1047
20	399	1028
21	418	1007
22	436	987
23	455	968
24	475	951
25	494	932
26	514	914
27	532	894
28	550	873
29	568	853
30	587	833
31	607	816
32	625	796
33	643	776
34	663	758
35	681	738
36	701	720
37	719	700
38	738	681
39	757	662
40	776	644
41	795	625
42	813	605
43	831	585
44	851	567
45	869	548
46	887	528
47	907	510
48	925	490
49	942	471
50	961	452
51	979	433
52	999	414
53	1017	395
54	1036	376
55	1055	358
56	1074	339
57	1093	320
58	1112	301
59	1131	282
60	1150	263
61	1166	244
62	1185	225
63	1204	207
64	1221	187
65	1241	169
66	1260	150
67	1279	131
68	1298	112
69	1315	93
70	1333	75
71	1352	56
72	1370	37
73	1389	18
74	1407	0
